Word,POS,Synonym,Antonym
acute,adjective,acuate,obtuse
ambitious,adjective,challenging,unambitious 
consistent,adjective,accordant (similar term),inconsistent 
content,adjective,contented,discontented
convention,noun,normal,unconventionality 
custom,adjective,custom-made,ready-made
daylight,noun,day,night 
demanding,adjective,exigent (similar term),undemanding
feed,verb,promote (generic term),starve
finished,adjective,dressed (similar term),unfinished
forwards,adverb,ahead,backward 
hearing,adjective,sharp-eared (similar term),deaf 
inaudible,adjective,unhearable,audible 
interior,adjective,home,exterior 
lesser,adjective,greater (antonym),greater 
loved,adjective,admired (similar term),unloved 
morality,noun,ethical motive,immorality 
net,adjective,final,gross 
off,adjective,disconnected (similar term),on 
pack,verb,carry,unpack 
package,noun,software,hardware 
passionate,adjective,ablaze (similar term),passionless 
penalty,noun,punishment,reward 
productive,adjective,amentiferous (similar term),unproductive
protective,adjective,antifouling (similar term),unprotective 
publicly,adverb,publically,privately
purchase,verb,buy,sell 
red,noun,Red,gain
remarkably,adverb,signally,unremarkably 
ringing,adjective,reverberant,unreverberant
sickness,noun,defectiveness (generic term),wellness
slave,adjective,bond (similar term),free 
temporarily,adverb,permanently (antonym),permanently 
unaware,adjective,incognizant,aware 
alas,adverb,unfortunately,fortunately
beautifully,adverb,attractively,unattractively 
button,verb,fasten (generic term),unbutton 
comfortably,adverb,uncomfortably (antonym),uncomfortably 
comparable,adjective,comparable with (similar term),incomparable
consciously,adverb,unconsciously (antonym),unconsciously
correctly,adverb,right,wrongly
curve,noun,curvature,straight line
destructive,adjective,annihilative (similar term),constructive
enthusiastic,adjective,ardent (similar term),unenthusiastic 
established,adjective,firm,unestablished 
fatal,adjective,fateful,nonfatal 
feminine,adjective,fair (similar term),masculine 
filled,adjective,occupied (similar term),unfilled
hate,noun,hatred,love
hurry,verb,rush,delay
increased,adjective,accrued (similar term),decreased 
inequality,noun,difference (generic term),equality 
informal,adjective,casual (similar term),formal 
inside,adverb,at heart,outside 
loving,adjective,admiring (similar term),unloving 
mercy,noun,mercifulness,mercilessness 
mount,verb,ride,wane 
nationalism,noun,doctrine (generic term),multiculturalism
organic,adjective,living thing,functional 
permanently,adverb,for good,temporarily
plain,adverb,obviously,cheer 
privately,adverb,in private,publicly 
promotion,noun,publicity,demotion 
prove,verb,demonstrate,disprove 
qualified,adjective,certified,unqualified 
rejection,noun,organic phenomenon (generic term),acceptance
representative,adjective,typical (similar term),nonrepresentative 
resolution,noun,resoluteness,preparation
sandy,adjective,friable,argillaceous 
settled,adjective,accomplished (similar term),unsettled
stability,noun,stableness,inconstancy 
superiority,noun,arrogance (generic term),low quality
uncertainty,noun,uncertainness,certainty 
unusually,adverb,remarkably,unremarkably
valid,adjective,binding (similar term),invalid 
wish,verb,bid,begrudge
worry,verb,rub (generic term),reassure
aesthetic,adjective,esthetic,inaesthetic 
atomic,adjective,nuclear,conventional 
attending,noun,attention,nonattendance
coalition,noun,alliance,nonalignment 
comedy,noun,drama (generic term),tragedy 
complex,adjective,analyzable (similar term),simple 
concentrated,adjective,accumulated (similar term),distributed
continental,adjective,geographical area,intercontinental 
convincing,adjective,credible (similar term),unconvincing
cut,adjective,chopped (similar term),uncut
designed,adjective,intentional,undesigned
encouragement,noun,approval (generic term),discouragement 
experienced,adjective,experient,inexperienced 
flexible,adjective,limber (similar term),uncompromising
flood,noun,inundation,ebbtide
foe,noun,enemy,friend 
harmless,adjective,innocent (similar term),harmful
harmony,noun,sound property (generic term),dissonance
incapable,adjective,unable (similar term),capable 
infinite,adjective,non-finite,finite 
insane,adjective,amuck (similar term),sane
intervention,noun,interference,noninterference
lively,adjective,racy,dull
male,adjective,male (similar term),female
mathematical,adjective,numerical,verbal 
meaningless,adjective,nonmeaningful,meaningful 
part-time,adjective,parttime,full-time 
prevent,verb,keep,let
privileged,adjective,advantaged (similar term),underprivileged 
published,adjective,promulgated,unpublished
rightly,adverb,justly,unjustly 
rush,verb,hurry,linger 
scent,verb,nose,deodourise
shiny,adjective,bright,unglazed 
sink,verb,dip,float
understood,adjective,appreciated (similar term),ununderstood 
won,adjective,lost (antonym),lost 
accuracy,noun,quality (generic term),inaccuracy
admit,verb,let in,deny
anonymous,adjective,anon.,onymous 
attendance,noun,attending,nonattendance
attraction,noun,attractive force,repulsion
climb,noun,ascent,descent 
conspicuous,adjective,attention-getting (similar term),inconspicuous 
corruption,noun,corruptness,incorruptness 
exclusive,adjective,sole,inclusive
export,noun,exportation,import
favourable,adjective,favorable,unfavorable
formed,adjective,organized (similar term),unformed
fraction,verb,divide,multiply 
full-time,adjective,regular (similar term),part-time
gradual,adjective,bit-by-bit (similar term),sudden 
hastily,adverb,hurriedly,unhurriedly
hopeless,adjective,abject (similar term),hopeful
humane,adjective,humanist,inhumane
impatient,adjective,raring,patient 
inability,noun,cognition (generic term),ability
include,verb,see (generic term),exclude 
intensive,adjective,intense (similar term),extensive
joint,adjective,associated (similar term),separate
mask,verb,cover (generic term),unmask 
nationalization,noun,nationalisation,denationalization 
noisy,adjective,blatant (similar term),quiet
petty,noun,petit larceny,grand larceny 
pit,noun,Hell,Heaven
praise,verb,measure (generic term),criticize 
precision,noun,preciseness,imprecision
profitable,adjective,advantageous (similar term),unprofitable
prosecution,noun,criminal prosecution,defense 
proved,adjective,proven,unproved 
restraint,noun,restriction (generic term),unrestraint
reward,noun,wages,penalty 
rude,adjective,crude,civil 
same,adjective,aforesaid (similar term),other 
simplicity,noun,simpleness,difficulty
spell,verb,import,unspell
unemployed,adjective,discharged (similar term),employed 
worth,noun,quality (generic term),worthlessness
wrong,verb,treat (generic term),rightfulness
accurately,adverb,inaccurately (antonym),inaccurately
apply,verb,hold,exempt
appreciation,noun,thanks (generic term),depreciation 
arbitrary,adjective,absolute (similar term),nonarbitrary 
capability,noun,capableness,incapableness
closed,adjective,blocked (similar term),open
complexity,noun,complexness,simplicity 
correspondence,noun,symmetry,asymmetry 
decisive,adjective,conclusive (similar term),indecisive
delay,verb,wait (generic term),rush
density,noun,denseness,distribution 
diplomatic,adjective,negotiation,undiplomatic 
dramatically,adverb,undramatically (antonym),undramatically 
emotionally,adverb,unemotionally (antonym),unemotionally
enter,verb,participate,exit 
fearful,adjective,frightful,brave
felicity,noun,felicitousness,infelicity 
finishing,noun,finish,start
formally,adverb,officially,informally
glorious,adjective,illustrious,inglorious
halt,verb,stop,start 
infinitely,adverb,endlessly,finitely 
intolerable,adjective,unbearable,tolerable 
jam,verb,malfunction (generic term),free
kindly,adverb,unkindly (antonym),unkindly 
